,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,SCO04,SCO08,SCO09,SCO10,SCO11,SPO10,SPO11,SPR04,SPR08,SPR09,SPR10,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPO10,ZPO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10
K13984,2.889161833,1.623753333,0.70694,0.42951,0.583785,0,1.152841667,0.482706667,5.98044,8.326066667,17.10747,14.311105,16.10151,7.404692,12.78379,22.63562833,5.835766667,2.262166667,4.946276667,8.01055,3.283071667,14.15436,6.695813333,7.1006,9.8675,0,0,0,0.817106667,0,0,2.88125,3.133216667,6.076516667,3.183136667,3.469583,2.7992,14.036635,6.63826,19.43279167,0.8752555,0,0.293993,0.626872,1.11208,0.601145,0.3295285,1.5656495,0.3100705,0,0.2565695,0,0,0,0,0.5172955,0,0.6277055,0.25431,1.32687,0,0,0,0
K13996,2.889161833,1.623753333,0.70694,0.42951,0.583785,0,1.152841667,0.482706667,5.98044,8.326066667,17.10747,14.311105,16.10151,7.404692,12.78379,22.63562833,5.835766667,2.262166667,4.946276667,8.01055,3.283071667,14.15436,6.695813333,7.1006,9.8675,0,0,0,0.817106667,0,0,2.88125,3.133216667,6.076516667,3.183136667,3.469583,2.7992,14.036635,6.63826,19.43279167,0.8752555,0,0.293993,0.626872,1.11208,0.601145,0.3295285,1.5656495,0.3100705,0,0.2565695,0,0,0,0,0.5172955,0,0.6277055,0.25431,1.32687,0,0,0,0
K03316,2.30381,0,0,3.177266667,0.623658333,2.904025,2.336566667,6.5887,10.93674667,12.92595667,22.641524,18.90253533,12.75357,14.230022,16.77652,19.85015667,9.43865,5.283438333,16.50689333,0,14.990045,7.600525,11.41665,4.527785,10.45045,0,0,0,0,0,0,0,0,2.559316667,16.22556667,1.509233333,0,9.3808325,11.70035,12.256975,0.2409135,0.67666,0.3785625,0.3933935,1.6226505,0,2.2792605,4.0521095,0.837143,2.043175,0.6950505,0,0,0,0,0,0,0,1.383658,2.87779,0.985265,0,0,0
K10859,0,0,0,0,0,0,21.48966667,0,0,0,5.18916,15.63033333,9.96385,16.999034,7.37653,10.446,4.8836,4.049716667,0,13.1582,5.9093,13.3718,3.367466667,0,9.01475,0,0,0,0,0,0,0,0,0,6.955816667,22.67461667,0,0,5.46416,19.82338333,0.830575,0,0,0,0,0,0,0.809295,0,0,0,0,0,0,0,0,0.55233,0,0,0,0,0,0,0
K11550,6.43873,0,0,0,0,2.63929,1.448223333,0,3.664116667,5.487533333,2.36006,4.09682,5.66365,4.100898,22.69161,10.03093333,3.64985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.220083333,0,0,8.490016667,0,3.52155,2.1434,4.815616667,0,0,0,0,0,0,0,0,0,0.67742,0,0,0,0,0,0.65833,0,0,0,0,0,0,0,0
K11558,6.43873,0,0,0,0,2.63929,1.448223333,0,3.664116667,5.487533333,2.36006,4.09682,5.66365,4.100898,22.69161,10.03093333,3.64985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.220083333,0,0,8.490016667,0,3.52155,2.1434,4.815616667,0,0,0,0,0,0,0,0,0,0.67742,0,0,0,0,0,0.65833,0,0,0,0,0,0,0,0
K12398,0,0,0,0,3.210166667,5.45955,0.858783333,3.694343333,7.483028333,14.09346667,13.00872,17.65074833,13.79129,12.496756,12.01888,20.55832167,15.338,18.39010833,15.57716667,16.8565,9.065708333,10.38676,4.627211667,13.964345,19.54243333,0,0,0,0,0,0,0,0,4.258933333,5.08985,2.850633333,5.6948,17.5614,15.61428,22.694625,0.3755775,1.702361,0,0.4487305,0.7648695,0,0.7046815,0.364501,0,0,0,0,0,0,0,0.791695,0.6948785,0,0,0,0,0,0,0.52576
K14963,0.864878333,0,0,0,6.065476667,1.73084,4.339235,7.38185,8.696186667,12.34681,16.0087926,15.748625,22.350705,22.695594,15.1807,11.75370833,9.715016667,6.366456667,0,7.12535,3.040283333,6.87971,1.732533333,0,2.93815,0,0,0,0,0,0,0,0,4.903366667,7.920433333,15.13746667,0,7.0863,10.9896365,8.853801667,2.175412,1.37448,0.527615,0,0.942628,0,0.865342,2.22869,0,0,1.324504,0,0,1.09152,0,0.811202,0.2926665,0,0,1.10888,0,3.34205,0,0
K06963,3.622066667,4.297366667,0,22.70116667,0,0,4.784983333,1.260685,0,6.570508333,21.32784,8.456560667,13.35435,9.439512,3.65608,11.25411833,4.274733333,2.326433333,3.157966667,0,5.161933333,0,0,0,7.388866667,0,0,0,0,0,0,0,3.957,0,3.8645,0,0,0,0,6.18665,0.80155,0,0,0,0,0.67367,0,0,0,0,0,0,0,0,0,0,0,0,0.57469,0,0,0,0,0
K14327,2.131316,0,0,1.071968333,0.348285,1.7269145,2.918186667,3.316038333,8.712465,11.88872767,16.4674172,13.79943667,18.827605,13.1368886,13.8105,22.70868733,9.693868833,11.68836183,18.46649483,5.832975,13.47422717,9.9791045,4.243010167,7.05432,13.42228917,0.869211167,0,0,1.054949,0,0,1.073716667,5.082203333,1.349389833,13.2986355,10.649415,4.1394565,8.229956,12.8130655,21.23362917,0.3714005,1.051128,0.5535325,0.9785675,0.47982,0.668971,0.784988,2.125058,0.180693,1.0394925,0.546611,0,1.63518,1.1000745,0.088351,0.758738,0.4049255,0.16749,0.56553,1.513075,0,0,0,0.237113
K03006,3.333602333,0,0.815518333,2.493445,2.036856833,0,3.214938167,3.366451667,8.672255,12.12870417,22.460688,11.64523017,18.40915,12.2388982,11.37536,22.71157,9.853083333,12.28267167,18.28958833,8.674505,9.339038333,13.046475,4.350813333,0.7403675,8.405485,0,0,1.610805,0.228473333,0,0.505614,2.545803333,0.835863333,0.848875,12.65506833,6.211356667,12.996845,7.3505775,4.91839,15.35197167,5.312399,4.491084,2.720802,3.82328,3.1699395,3.574445,1.4903375,4.491078,0.7130185,6.879505,5.7281865,0.1147675,2.4999055,7.647707,0.590932,2.6352215,1.3097005,1.713636,0.8363385,2.287583,2.0027535,4.380295,6.739179,1.7531265
K01649,0.925218333,0,0,0.407868333,1.353286667,1.076765,5.267526667,1.810786667,6.492235,12.9561115,22.72393,19.24193,14.9269,6.480137,12.833713,13.25002,4.337995,9.081166667,9.921901667,14.814665,4.662588333,10.391255,2.3881,3.3772955,12.22153333,0,0,0,0,0,0,0,0,2.888816667,4.924273333,7.477025,14.68078,3.3173575,10.76894,15.57073,0.6332,0.7685095,0,0.941135,0.483088,1.71273,0.1677895,2.112734,0.2953295,0.2580645,0.7304155,0,0,0.250169,0,0,0,0,0.253318,0,0,1.897665,0,0
K10389,3.093683333,0,0,0,0.770533333,0,4.101516667,1.428205,16.85581667,6.87335,14.028404,13.833795,20.763225,21.110778,19.71544,20.38750333,5.889716667,6.18725,8.500235,10.3093,4.37123,4.668185,1.382246667,4.698645,13.7693,0,0,0,0,0,0,4.929866667,0,0,13.55708333,2.906616667,22.7411,4.612975,9.852055,10.21490667,0,2.068903,0,0.406161,0.662161,0,0,0.688913,0,0,0,0,0,1.66592,0.25197,0.307681,0,0,0.3284215,0,0,0,0,0.497586
K21768,2.001136667,0,0,0,0,1.018575,0,0,5.516298333,3.572748333,7.678444,5.680061667,22.754445,7.334292,6.68957,6.0787,1.469218333,4.6494,7.169696667,0,5.871353333,8.04575,0,0,4.931033333,0,0,0,0,0,3.6429,0,1.582801667,0,4.203083333,3.5718,0,7.0755525,5.58691,11.62631167,0.981498,0.281014,0,0.2344705,0,0.625235,0.1713455,0.9565195,0,0.84274,0.535102,0,0,0.546885,0,0.296028,0.1743025,0,0,0,0,0,0,0.402491
K00869,7.93916,0,0,2.4307,4.60385,1.388695,4.595666667,0.688978333,6.801266667,8.189856667,12.39712,18.85929,14.05355,11.32592,15.30304,22.77228,3.503566667,2.871,5.214533333,17.0719,1.914695,10.78265,0,5.06745,5.206066667,0,0,0,0,0,0,0,0,0,9.274116667,10.05563167,21.318705,0,11.996775,8.603986667,0.465502,1.52976,1.301174,0.4512195,0.71114,0,0.254235,6.313469,1.077075,0,0.3578135,0,0.50707,0,0.83707,0.393606,0.2319415,0,0,0,0,0,0,0.534005
K11870,2.632445,0,0,0,2.949773333,0,0.753546667,0.605255,9.559393333,16.25464167,17.36933,22.78518833,12.023925,17.921338,7.42103,18.20593,4.591483333,3.846218333,1.83755,10.24265,2.556483333,9.41225,1.295881667,4.55143,7.890116667,0,0,0,0,0,0,0,0,0,16.52323333,2.703866667,5.15465,5.5823775,5.842985,12.604725,0.436195,0,1.180985,1.49937,0.720274,0,0,0.50594,0,0,0.67033,0,0,0,0,0,0,0,0,0,0,0,0,0
K04512,1.162787333,1.597920833,2.141226667,8.751360833,1.022065,1.981649,7.0088605,3.511321667,6.611085,17.932295,10.746426,13.61341967,3.399824,6.4933834,0.711111,3.047405,7.621703167,9.800861667,6.873758333,5.989575,12.70833867,5.69806,7.790798333,0,11.02591167,1.799132333,0.736115,7.011033333,2.622568333,1.48319,11.9307,8.103544,6.314795,10.7266695,22.53888917,3.934897833,2.59533,4.6044075,0.55967,22.825619,1.0307715,1.1139205,0.5990775,0.6904615,0.112077,0.3468185,0.7058065,2.225345,0.1218135,1.7567055,3.4389035,1.1177325,3.357901,3.8835835,1.3560485,1.921306,0.574337,0.736327,1.4559775,0.257282,2.950413,6.28006,1.591416,1.472008
K05740,1.162787333,1.597920833,2.141226667,8.751360833,1.022065,1.981649,7.0088605,3.511321667,6.611085,17.932295,10.746426,13.61341967,3.399824,6.4933834,0.711111,3.047405,7.621703167,9.800861667,6.873758333,5.989575,12.70833867,5.69806,7.790798333,0,11.02591167,1.799132333,0.736115,7.011033333,2.622568333,1.48319,11.9307,8.103544,6.314795,10.7266695,22.53888917,3.934897833,2.59533,4.6044075,0.55967,22.825619,1.0307715,1.1139205,0.5990775,0.6904615,0.112077,0.3468185,0.7058065,2.225345,0.1218135,1.7567055,3.4389035,1.1177325,3.357901,3.8835835,1.3560485,1.921306,0.574337,0.736327,1.4559775,0.257282,2.950413,6.28006,1.591416,1.472008
K10885,1.983573333,0,0,0,1.133687833,0.72933,0,1.622265167,6.356245667,6.859526667,11.781058,8.002795,16.53618,6.361798,9.48261,22.85779667,10.694935,7.19888,5.994783333,6.00485,2.401235,13.9993,4.982041667,0,9.020025167,1.131902667,0,0,0,0,0,2.037733333,0,0,1.494288333,3.209885,7.85654,6.9685475,11.291375,13.99521667,0,0.572219,0,0.876071,0.441086,0,0.5205465,0.7713625,0,0.2053095,0.3774425,0,0,0.6449505,0,0.608897,0.1449785,0,0.193702,0,0,0,0,0
K14858,1.132145333,0,0,0,0,0.75948,5.279336667,0.844661667,12.24374667,9.721146667,9.452748,15.1453675,22.3273,17.8319138,14.471212,20.698691,8.501906667,16.01916667,22.9265165,0,15.31277817,14.4537395,7.036610167,5.788625,10.30235,1.345991667,2.235966667,0,0,3.535555,0,2.908633333,3.899395,0,5.175996667,7.052375667,15.426274,8.0608925,4.1931335,15.26347483,2.9805165,3.097327,1.24059,3.274449,1.809513,2.0807685,1.414989,5.758109,0.4812765,4.758587,0.193269,0.6020805,4.28308,3.2261435,0.7825095,2.7311585,1.716769,0.8534655,0.3908545,2.73076,0.8941565,8.881905,2.33714,2.4862935
K13211,1.909585,0,0,0,0.722717167,0.74179,0,1.576303333,7.007636667,2.2671,9.944508,5.264568333,9.70278,5.65971,9.83701,22.93534833,0.944046667,7.318113333,14.39871683,3.05371,5.939651667,5.78597,1.645173333,9.50564,4.316381667,0.529533333,0,0,0,0,0,1.884,0,0,1.229231667,0.80815,7.35101,6.6236575,7.10658,14.96816833,0.2115715,0,0.4824465,0.430105,0.224164,0.4696255,0.2693435,1.0277645,0,0.2086855,0.4003365,0,0,0.406184,0,0.405694,0,0,0,1.010205,0,0,0,0.2127335
K20823,2.455275167,0.306102,0,0,0.775746667,1.398272,4.727864667,4.129796667,2.853936667,9.328075,14.44836,10.64177383,16.868878,9.374122,12.28404,23.0404,11.50500333,6.196603333,9.781351667,0,6.087182333,4.69977,3.8974735,7.34948,5.830386667,0.91339,0,0,0.17642,0,0,3.903591667,3.628213333,0.98173,4.778509167,4.675652333,12.92246,4.46212025,5.373198,13.892581,0.856582,0.5888905,0.204784,0.972859,1.0623795,0.7669725,0.4448405,1.1933335,0.3146785,0.7338545,0.6015835,1.146575,2.08119,0.3967595,0,0.4490895,0.1152095,0.256122,0.6183885,1.5286945,0,0,0,0.6200145
K02863,2.34025,0,0,0,0,2.36491,4.4097,0,1.681416667,0.920468333,18.41822,23.04432333,9.029095,15.559016,20.7419,22.16023833,11.59983333,21.66808333,3.005966667,0,0,0,5.027583333,0,0,0,0,0,0,0,0,0,0,14.75866667,7.79945,9.611483333,0,18.393325,7.2197,16.27316667,1.368305,0,0.673515,0,0,0,0,0.59882,0.87391,0,0,0,0,0.71124,0,0.52103,0,0,0,0,0,0,0,0
K12178,2.985935,0,0,0,10.3316405,3.136395,3.755668333,4.580471667,11.40995667,12.12021417,23.049306,16.68373633,13.345922,15.696696,4.24505,21.67764,14.58412167,2.650733333,0,11.63855,3.95931,0,0,9.301595,2.95792,0,0,0,0,0,0,0,2.26115,0,3.0022,1.581911667,0,6.11733,7.734375,22.32510333,0,0,0,0.4537365,0.8450215,0.410679,0.2556665,0.3848605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05727,2.885369,0.527454833,0.278463333,1.472758333,0.968235667,0.281607,3.926107667,2.744769167,7.993318333,11.90864833,16.85321,18.63053867,19.184751,14.2886268,14.55973,23.06049,5.87113,8.71372,13.11178833,6.778325,10.65540167,12.51228,3.998243333,5.78472,13.10852083,0,0,0,0,0,0,2.240448333,2.486345,0,5.170551667,5.994965,8.452765,7.688275,4.4436325,17.24376167,1.8808215,1.0564985,0.2375425,0.280631,0.76774,0.3835255,0.619364,3.851769,0.5491315,3.2670665,0.866461,0.419353,0.399626,0.9190585,0.3624775,0.9893655,0.5198835,0.2370155,0.759724,0.8587745,0.20584,0.52368,0,0.245293
K01836,4.165848333,1.790386667,0,0,1.497846667,1.02075,3.357893333,1.519286667,3.495281667,9.50637,9.459112,5.83143,23.071065,9.856956,8.20665,19.47369,8.944141667,0.934551667,3.267501667,0,2.821193333,11.47848,1.095756667,0,0,1.361878333,0,0,0,0,0,0,4.864966667,0,6.495966667,4.019053333,4.06425,4.08592,6.34784,19.23238167,0.859365,1.007231,0,0,0.570674,0.313875,0,0,0,0.849578,0.267996,0,0,0,0,0.594634,0,0,0.265381,0,0,0,0,0
K06664,0.47489,0,0,4.891819,0,1.6084555,0.936225667,5.071298333,2.990847667,2.749312333,22.713728,13.93496,23.104845,20.008584,16.34214,18.72712,6.662817167,15.70397267,10.99096733,12.912628,14.97916283,12.240251,2.829466667,5.8693515,9.217501167,0,0,0,0,0,0,0,4.9263,0,2.612633333,0,0,8.923631,6.286125,15.0840635,2.359604,0.4288935,0.4711805,0,0.4650305,0.47844,0,1.0422405,0.483735,0,0.8197605,0,0,0.50194,0,0.440809,0,0,0.4190895,0,0,0,1.7005955,0
