Taxon,Genus,SRR8743058,SRR8743059,SRR8743060,SRR8743061,SRR8743062,SRR8743063,SRR8743064,SRR8743065,SRR8743066,SRR8743067,SRR8743068,SRR8743069,SRR8743070,SRR8743071,SRR8743072,SRR8743073,SRR8743074,SRR8743075,SRR8743076,SRR8743077,SRR8743078,SRR8743079,SRR8743080,SRR8743081,SRR8743082,SRR8743083,SRR8743084,SRR8743085,SRR8743086,SRR8743087,SRR8743088,SRR8743089,SRR8743090,SRR8743091,SRR8743092,SRR8743093,SRR8743094,SRR8743095,SRR8743096,SRR8743097,SRR8743098,SRR8743099,SRR8743100,SRR8743102,SRR8743103,SRR8743104,SRR8743105,SRR8743106,SRR8743107,SRR8743108,SRR8743109,SRR8743110,SRR8743111,SRR8743112,SRR8743113,SRR8743114,SRR8743115,SRR8743116,SRR8743117,SRR8743118,SRR8743119,SRR8743120,SRR8743121,SRR8743122,SRR8743123,SRR8743124,SRR8743125,SRR8743126,SRR8743127,SRR8743128,SRR8743129,SRR8743130,SRR8743131,SRR8743132,SRR8743133,SRR8743134,SRR8743135,SRR8743136,SRR8743137,SRR8743138,SRR8743139,SRR8743140,SRR8743141,SRR8743142,SRR8743143,SRR8743144,SRR8743145,SRR8743146,SRR8743147,SRR8743148,SRR8743149,SRR8743150,SRR8743151,SRR8743152,SRR8743153,SRR8743154,SRR8743155,SRR8743156,SRR8743157,SRR8743158,SRR8743159,SRR8743160,SRR8743161,SRR8743162,SRR8743163,SRR8743164,SRR8743165,SRR8743166,SRR8743167,SRR8743168,SRR8743169,SRR8743170,SRR8743171,SRR8743172,SRR8743173,SRR8743174,SRR8743175,SRR8743176,SRR8743177,SRR8743178,SRR8743179,SRR8743180,SRR8743181,SRR8743182,SRR8743183,SRR8743184,SRR8743185,SRR8743186,SRR8743187,SRR8743188,SRR8743189,SRR8743190,SRR8743191,SRR8743192,SRR8743193,SRR8743194,SRR8743195,SRR8743196,SRR8743197,SRR8743198,SRR8743199,SRR8743200,SRR8743201,SRR8743202,SRR8743203,SRR8743204,SRR8743205,SRR8743206,SRR8743207,SRR8743208,SRR8743209,SRR8743211,SRR8743212,SRR8743213,SRR8743214,SRR8743215,SRR8743216,SRR8743217,SRR8743218,SRR8743219,SRR8743220,SRR8743221,SRR8743222,SRR8743223,SRR8743224,SRR8743225,SRR8743226,SRR8743227,SRR8743228,SRR8743229,SRR8743230,SRR8743231,SRR8743232,SRR8743233,SRR8743234,SRR8743235,SRR8743236,SRR8743237,SRR8743238,SRR8743239,SRR8743240,SRR8743241,SRR8743242,SRR8743243,SRR8743244,SRR8743245,SRR8743246,SRR8743247,SRR8743248,SRR8743249,SRR8743250,SRR8743251,SRR8743252,SRR8743253,SRR8743254,SRR8743255
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Gigaspora;s__Gigaspora rosea,Gigaspora,1,0,3,1,0,1,1,1,1,1,0,1,0,1,1,0,7,3,3,6,9,16,15,9,7,12,50,28,2,13,18,46,29,12,23,29,25,66,41,17,53,11,11,16,25,14,18,3,31,22,11,21,17,16,20,16,10,21,21,15,47,0,3,1,2,6,4,8,30,6,13,25,2,24,1,25,26,8,12,16,13,23,13,16,24,39,101,52,63,45,67,115,71,88,71,271,56,72,68,1,4,2,0,2,1,1,0,2,1,2,1,4,1,0,2,6,1,8,4,4,15,7,11,13,21,21,24,22,26,25,30,18,69,36,39,35,12,14,36,9,11,35,44,6,18,22,11,20,16,27,8,9,8,12,6,11,27,77,25,1,6,5,4,4,1,6,9,13,9,21,9,18,8,9,22,16,29,3,6,64,24,28,77,38,41,67,80,66,67,73,67,35,161,84,19,88
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora gerdemannii,Ambispora,1,0,0,0,0,0,0,0,1,2,1,0,2,1,1,0,10,8,11,8,13,27,36,40,21,32,114,47,17,27,18,66,71,31,104,43,41,114,63,24,29,11,25,36,43,18,41,12,55,35,26,38,50,29,29,26,13,20,15,15,11,1,2,0,5,8,3,16,29,3,20,34,11,26,19,36,44,36,26,39,14,36,29,25,29,43,185,80,145,76,158,179,202,169,183,610,111,148,114,1,8,1,0,0,2,0,0,0,4,0,0,1,1,2,1,9,3,17,26,12,45,23,31,40,44,35,51,30,57,51,71,42,161,66,94,95,33,24,65,30,12,58,72,8,37,25,19,27,40,58,27,27,20,34,15,22,32,34,17,2,7,2,7,1,3,9,12,8,15,28,22,28,38,19,35,26,50,13,18,136,23,53,137,56,120,133,177,124,95,158,120,108,334,167,60,209
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora leptoticha,Ambispora,17,13,9,8,31,15,19,30,29,18,22,17,22,25,34,19,26,30,15,30,26,33,37,29,24,51,207,91,30,33,28,58,47,31,92,43,41,107,64,37,34,32,36,32,49,27,50,19,54,34,28,41,14,45,40,38,34,40,26,32,33,17,18,24,37,21,23,63,184,40,36,49,26,46,44,69,56,41,50,44,29,57,29,39,41,39,291,94,136,62,134,172,188,152,137,492,127,144,114,7,10,8,9,7,7,3,18,31,7,4,9,7,13,8,8,11,9,13,10,13,28,23,17,33,43,46,43,29,44,33,79,37,143,72,82,90,24,34,46,28,18,52,54,8,30,39,32,25,29,54,33,9,26,40,10,11,17,52,8,9,7,9,21,5,13,37,34,71,19,28,34,38,27,19,27,36,33,9,15,86,34,56,106,60,80,113,148,88,56,130,103,80,285,138,36,195
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Gigaspora;s__Gigaspora margarita,Gigaspora,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,10,6,1,2,6,47,16,22,17,20,76,45,21,24,24,113,66,19,71,46,37,87,67,14,45,16,18,29,28,14,30,7,58,39,32,31,32,20,38,27,17,15,30,14,20,3,1,1,9,1,4,10,25,2,19,38,7,20,17,33,42,24,31,37,17,63,13,36,29,43,146,67,126,68,133,181,148,128,112,421,155,159,120,0,3,2,0,1,0,2,1,1,0,0,0,1,1,1,2,9,2,13,6,6,19,16,23,20,31,37,48,36,46,57,57,36,141,63,94,97,23,11,67,10,13,54,48,5,36,34,17,33,27,40,38,16,13,14,8,8,28,46,23,1,7,3,5,3,1,4,8,3,9,20,20,33,17,17,25,25,67,13,11,127,25,56,103,55,107,139,124,81,76,135,90,73,276,141,40,122
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Paraglomus occultum,Paraglomus,1,3,1,0,4,1,0,3,1,3,4,1,3,7,2,1,15,11,1,13,5,24,62,16,16,26,148,32,11,16,8,37,37,17,65,44,23,34,69,14,16,8,26,21,20,13,15,5,31,20,23,17,107,16,16,23,11,6,11,5,14,6,4,1,3,1,7,11,67,4,7,32,9,20,6,99,30,36,26,58,43,28,19,26,21,48,174,48,70,74,72,85,94,68,92,319,74,125,51,3,6,1,0,0,1,2,1,3,1,1,4,1,1,3,1,3,5,10,13,2,24,19,25,21,51,26,40,45,42,24,82,25,85,43,35,46,35,19,44,8,3,40,39,9,21,19,16,15,21,25,17,16,13,27,4,6,21,39,7,8,9,5,3,4,6,7,14,8,8,15,13,15,20,15,16,20,81,4,4,81,10,32,65,50,92,99,119,92,69,84,61,54,172,81,32,122
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Paraglomus brasilianum,Paraglomus,3,1,2,2,4,0,4,0,0,0,0,3,2,2,1,2,10,10,3,16,20,24,56,39,28,22,114,41,13,19,15,39,40,28,81,37,14,54,103,21,32,20,28,31,31,12,34,12,40,26,23,31,38,28,10,14,13,16,8,14,16,3,8,2,12,3,8,14,54,4,25,33,15,18,26,136,46,37,16,75,14,45,19,26,16,54,124,59,84,104,86,104,109,107,97,335,70,144,82,3,8,3,0,2,7,3,4,0,4,2,4,2,2,2,9,2,5,12,15,8,51,20,31,28,54,41,61,32,51,32,56,29,91,55,54,55,62,11,51,20,12,60,54,9,28,26,18,23,22,49,19,12,15,42,12,14,33,40,11,7,4,3,7,6,7,5,15,7,14,15,16,21,15,12,32,21,87,6,11,114,32,45,90,61,97,117,113,101,57,96,49,65,263,84,33,177
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Dentiscutata;s__Dentiscutata heterogama,Dentiscutata,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,6,1,1,4,4,6,3,4,7,5,11,2,4,2,13,11,3,21,15,12,17,12,6,8,3,4,10,14,7,10,7,19,3,11,2,0,10,7,7,3,8,1,3,3,1,0,0,2,2,1,4,3,0,9,7,3,7,7,8,8,7,7,6,6,7,3,5,10,9,56,17,40,14,29,49,55,31,25,100,32,38,23,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,3,0,1,11,3,3,5,7,8,5,6,10,16,14,5,37,18,14,20,3,4,16,3,2,15,12,0,13,4,4,2,6,14,2,2,3,6,3,3,7,9,3,0,9,1,0,1,0,1,3,0,2,4,5,3,6,3,5,3,15,1,2,32,5,14,29,11,13,31,27,19,21,34,35,12,53,32,9,33
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Cetraspora;s__Cetraspora pellucida,Cetraspora,1,0,0,0,0,2,1,0,1,0,0,2,0,0,1,1,5,2,4,9,10,37,33,13,36,36,107,32,29,30,10,62,58,34,84,47,38,90,223,14,20,14,27,31,23,18,28,20,55,19,33,32,65,43,33,29,16,18,35,23,19,1,2,1,4,8,3,2,54,5,16,30,13,24,13,27,27,26,16,21,41,61,20,28,20,48,183,77,133,80,161,212,158,99,122,457,126,165,122,9,4,0,2,1,0,0,1,1,2,2,1,1,1,0,4,5,1,11,23,9,16,15,12,31,61,49,60,63,48,38,71,48,162,104,89,96,26,15,35,24,9,94,62,8,40,29,27,24,29,51,22,15,14,53,8,17,35,63,16,3,7,4,1,2,2,9,7,4,12,9,14,25,42,18,33,16,60,10,15,106,30,45,106,40,67,121,124,102,73,170,105,69,273,137,44,149
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__Acaulospora colombiana,Acaulospora,0,2,1,0,6,0,0,0,0,0,2,2,1,2,1,1,4,1,3,11,10,22,36,47,32,21,89,38,35,22,24,62,46,34,85,33,68,91,123,14,25,15,30,20,32,14,31,14,37,37,34,18,23,16,13,16,8,20,17,13,15,4,1,3,15,13,2,16,35,8,20,27,10,26,16,24,39,15,37,22,17,68,19,36,37,41,146,71,85,58,117,151,186,128,254,446,106,115,88,7,1,0,0,2,2,1,2,4,2,3,1,1,1,0,3,5,6,17,16,12,43,17,52,35,43,23,44,24,43,32,44,35,114,57,72,61,15,25,42,18,22,71,60,3,33,27,14,24,31,57,16,15,12,51,9,12,26,47,13,4,12,0,4,8,9,6,20,5,18,20,21,20,22,18,30,17,46,4,13,100,30,46,79,61,71,110,117,116,72,133,89,82,264,138,28,132
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Scutellospora;s__Scutellospora calospora,Scutellospora,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,1,2,5,4,7,37,17,63,48,36,21,33,14,29,94,98,33,65,44,40,38,9,10,1,11,18,19,21,31,9,19,7,15,84,21,34,24,23,11,6,14,9,11,1,2,1,4,2,0,5,13,1,3,15,3,5,5,15,8,5,10,2,5,25,8,51,20,9,117,127,51,94,90,94,98,65,97,216,51,68,37,1,3,1,0,1,0,1,0,0,2,0,1,0,0,0,0,4,0,14,1,2,19,26,7,101,36,60,37,63,70,45,152,53,141,28,43,51,10,5,15,7,5,25,47,4,15,26,17,27,33,28,58,39,38,16,19,17,16,14,15,1,5,1,0,2,2,4,4,0,6,9,3,11,9,4,3,3,18,8,4,43,14,26,41,17,60,221,103,77,46,54,68,28,119,62,19,98
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus sp. DAOM 213198,Rhizophagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Dentiscutata;s__Dentiscutata erythropus,Dentiscutata,3,0,0,0,0,0,0,1,0,1,0,0,2,1,4,1,4,1,5,7,7,23,24,13,24,27,66,27,11,6,19,32,43,11,72,30,28,65,117,19,23,15,19,16,40,17,35,20,32,36,23,25,9,18,18,20,11,18,14,16,19,1,1,1,13,1,2,12,10,2,23,34,6,20,14,14,33,26,14,18,20,33,17,29,25,31,122,62,100,61,82,148,131,121,94,397,70,91,76,4,4,2,0,1,0,2,2,1,0,0,1,0,2,0,2,3,4,10,7,12,19,16,19,27,30,30,27,28,34,35,54,32,86,35,57,59,18,12,49,12,7,57,57,8,32,40,15,33,42,38,14,12,12,28,7,10,25,46,8,1,3,0,6,1,2,4,10,11,6,15,16,35,16,16,30,19,33,13,17,82,19,46,92,39,58,97,111,84,73,96,86,55,223,111,28,122
k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Racocetra;s__Racocetra persica,Racocetra,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,6,1,0,3,3,21,14,12,12,12,33,20,3,9,11,33,41,19,85,24,28,72,31,10,16,5,29,15,30,14,25,3,31,18,15,13,6,14,12,22,3,11,12,8,9,1,2,1,2,1,0,4,9,2,12,16,6,8,9,20,30,13,13,10,8,33,12,22,25,28,84,56,95,56,107,149,148,78,117,361,71,100,60,1,1,4,3,1,1,0,1,1,0,0,3,0,1,0,3,0,6,7,3,2,6,12,5,8,24,20,23,11,25,45,21,21,89,42,63,61,20,14,34,2,5,38,29,4,24,15,24,27,21,27,8,9,9,11,7,5,12,29,11,1,8,0,5,0,2,0,7,3,12,21,4,18,12,19,9,16,31,5,14,77,22,30,84,40,70,76,86,62,54,104,83,38,256,87,18,117
