ID,Group,Group2
TP9B11S_S3_L002,Metagenome_Soil_Control_TP09,TP09S11_L002
TP9B11Z_S7_L001,Metagenome_Rhizosphere_Control_TP09,TP09Z11_L001
TP9B11Z_S7_L002,Metagenome_Rhizosphere_Control_TP09,TP09Z11_L002
TP9B12S_S4_L001,Metagenome_Soil_Control_TP09,TP09S12_L001
TP9B12S_S4_L002,Metagenome_Soil_Control_TP09,TP09S12_L002
TP9B12Z_S8_L001,Metagenome_Rhizosphere_Control_TP09,TP09Z12_L001
TP9B12Z_S8_L002,Metagenome_Rhizosphere_Control_TP09,TP09Z12_L002
TP9B5S_S9_L001,Metagenome_Soil_Preflowering_TP09,TP09S5_L001
TP9B5Z_S5_L001,Metagenome_Rhizosphere_Preflowering_TP09,TP09Z5_L001
TP9B5Z_S5_L002,Metagenome_Rhizosphere_Preflowering_TP09,TP09Z5_L002
TP9B6S_S2_L001,Metagenome_Soil_Preflowering_TP09,TP09S6_L001
TP9B6S_S2_L002,Metagenome_Soil_Preflowering_TP09,TP09S6_L002
TP9B6Z_S6_L001,Metagenome_Rhizosphere_Preflowering_TP09,TP09Z6_L001
TP9B6Z_S6_L002,Metagenome_Rhizosphere_Preflowering_TP09,TP09Z6_L002
