AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.001G535900,Sobic.003G427100,,Sobic.006G071628,Sobic.009G196800
Sobic.001G208500,Sobic.004G002400,,Sobic.006G081000,Sobic.009G201000
Sobic.006G155300,Sobic.004G010900,,Sobic.006G083400,Sobic.009G212500
Sobic.009G085900,Sobic.004G013000,,Sobic.006G091400,Sobic.009G218450
Sobic.003G006600,Sobic.004G042200,,Sobic.006G101500,Sobic.009G225600
Sobic.003G007200,Sobic.004G045700,,Sobic.006G102900,Sobic.009G233200
Sobic.006G170500,Sobic.004G052900,,Sobic.006G105600,Sobic.009G235600
Sobic.007G124600,Sobic.004G054700,,Sobic.006G108500,Sobic.009G238300
Sobic.004G288700,Sobic.004G057100,,Sobic.006G112600,Sobic.009G244000
Sobic.002G124700,Sobic.004G064100,,Sobic.006G112800,Sobic.009G244300
Sobic.004G222000,Sobic.004G067600,,Sobic.006G124200,Sobic.009G249900
Sobic.002G125200,Sobic.004G074600,,Sobic.006G124400,Sobic.010G007500
Sobic.002G281000,Sobic.004G078500,,Sobic.006G129800,Sobic.010G011200
Sobic.002G125500,Sobic.004G099700,,Sobic.006G130200,Sobic.010G011900
Sobic.005G091600,Sobic.004G130932,,Sobic.006G140300,Sobic.010G012001
Sobic.009G131500,Sobic.004G147800,,Sobic.006G146300,Sobic.010G013000
Sobic.001G389900,Sobic.004G178500,,Sobic.006G147900,Sobic.010G019700
Sobic.010G251700,Sobic.004G181800,,Sobic.006G149400,Sobic.010G024600
Sobic.003G145800,Sobic.004G340700,,Sobic.006G150100,Sobic.010G035100
Sobic.006G208100,Sobic.004G349900,,Sobic.006G154500,Sobic.010G038900
Sobic.004G059800,Sobic.005G012200,,Sobic.006G155900,Sobic.010G041800
Sobic.003G237900,Sobic.005G016500,,Sobic.006G157600,Sobic.010G050800
Sobic.002G049700,Sobic.005G039500,,Sobic.006G163600,Sobic.010G054800
Sobic.009G147500,Sobic.005G201000,,Sobic.006G164400,Sobic.010G069300
Sobic.003G300600,Sobic.006G030400,,Sobic.006G169800,Sobic.010G089200
