"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743118_quant",3390,"2.3786","0.5627",3,"0.9516","0.4183","Root","Control",2,"RCO02","Root_Control_TP02","TP02R20","TP2R20",1,"t430",20,3,0.267011624679982,0.229971755694236,0.0979643803574306,543,0.378095271471153,0.543,999,-0.378095271471153
"SRR8743119_quant",5107,"6.5934","0.9170",3,"0.3085","0.0877","Root","Control",2,"RCO02","Root_Control_TP02","TP02R1","TP2R1",1,"t430",1,3,0.0396980166868687,0.0483869917079977,0.0167228756999584,317,-0.519586175070993,0.317,999,0.519586175070993
"SRR8743120_quant",209,"2.2192","0.6047",7,"1.8925","0.6478","Root","Control",3,"RCO03","Root_Control_TP03","TP03R12","TP3R12",1,"t430",12,7,0.314733659041781,0.35690821359792,0.0910027272867069,338,-0.463442754009631,0.338,999,0.463442754009631
"SRR8743121_quant",511,"1.9572","0.5832",7,"1.6324","0.5712","Root","Control",3,"RCO03","Root_Control_TP03","TP03R20","TP3R20",1,"t430",20,7,0.299183667354913,0.314639802409364,0.0897990428779408,420,-0.172119151375147,0.42,999,0.172119151375147
"SRR8743122_quant",456,"3.0522","0.7216",8,"1.6203","0.5179","Root","Control",3,"RCO03","Root_Control_TP03","TP03R1","TP3R1",1,"t430",1,8,0.240049440732323,0.285666914810231,0.0731417945214267,295,-0.623685464328395,0.295,999,0.623685464328395
"SRR8743123_quant",644,"2.3370","0.5735",8,"2.2881","0.7447","Root","Control",4,"RCO04","Root_Control_TP04","TP04R12","TP4R12",1,"t430",12,8,0.222026013298898,0.407259938927655,0.0813896759497925,17,-2.2758897055079,0.017,999,2.2758897055079
"SRR8743124_quant",509,"2.3201","0.5883",8,"1.8683","0.6410","Root","Control",4,"RCO04","Root_Control_TP04","TP04R20","TP4R20",1,"t430",20,8,0.336664558056933,0.352358204124226,0.0965293928598034,426,-0.162578936864197,0.426,999,0.162578936864197
"SRR8743125_quant",189,"3.0017","0.7669",4,"1.4982","0.5964","Root","Control",4,"RCO04","Root_Control_TP04","TP04R1","TP4R1",1,"t430",1,4,0.202078099641873,0.322835214758496,0.0997112810479946,122,-1.21106773323369,0.122,999,1.21106773323369
"SRR8743126_quant",1147,"4.9465","0.8967",4,"1.1029","0.4118","Root","Control",5,"RCO05","Root_Control_TP05","TP05R1","TP5R1",1,"t430",1,4,0.213078605533976,0.22783840048273,0.0755515619678319,395,-0.195360553300519,0.395,999,0.195360553300519
"SRR8743127_unmaped_quant",1361,"5.3656","0.9041",10,"2.0851","0.6079","Root","Control",5,"RCO05","Root_Control_TP05","TP05R20","TP5R20",1,"t430",20,10,0.178906249511019,0.332455993821247,0.0644861605147238,8,-2.3811270989714,0.008,999,2.3811270989714
