,Group_2,Group_1,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10,ZPO10,ZPO11,SCO04,SCO08,SCO09,SCO10,SCO11,SPR04,SPR08,SPR09,SPR10,SPO10,SPO11
jgi.Rhice1_1.834145.gm1.22929_g,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606655,0,0,0,0,0,0
jgi.Rhice1_1.726926.estExt_Genewise1Plus.C_3220026,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462813
jgi.Gigro1.2149052.estExt_fgenesh1_pg.C_20790002,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1608115,0.130464,0,0,0,0,0,0,0,0,0
jgi.Gigro1.2254969.estExt_Genemark1.C_22890006,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159655,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhiir2_1.1743780.estExt_Genewise1Plus.C_10194,Ank_2,PT,0,1.67E-07,0,5.17E-06,1.67E-07,0,0,0,0,1.67E-07,0.0000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-07,3.33E-07,0,0,0,0,0,6.67E-07,3.33E-07,0,0,0,0,0.0000005,1.67E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhidi1.632308.e_gw1.710.8.1,SPX,PT,13.055807,0,1.00091,2.537183,5.454717,4.63798,9.393537,5.875847,9.024603,29.905247,16.21632,20.873318,1.815005,0,0,7.820748,0,0,0,0,0,0,10.564717,1.805617,0,23.11685,25.789705,3.32915,24.1387,0,20.431412,19.0347,3.757512,1.435843,0,0,0,0,0,0,0,0,1.541095,0,2.620054,0,0,0,0,0,0,0,0,1.614035,4.448415,1.06665,1.90277,0.986419,8.205165,0,6.38975,0,0,0.596057
jgi.Gloin1.67530.e_gw1.3883.5.1,SPX,PT,12.7441717,0,0,4.5242283,0,1.29637,0.377285,5.1900833,4.868805,4.4032533,9.296164,6.85556,12.81912,14.384748,9.0013,11.2518567,0,0,0,0,0,0,3.8050517,0,0,5.09189,7.624065,3.72214,7.6542,5.734445,9.1518583,6.76087,9.8312117,8.3229133,10.4072,3.9738333,9.42505,0.7053783,0,3.3009333,0,0,0.219124,0.267377,0.357046,0,0.444005,0,0,0,0.263406,0,0,1.34175,0.3668265,0,0,0.1728485,5.539795,0.105166,2.45724,0,0.191483,0.9297395
jgi.RhiirA1_1.541994.estExt_Genemark1.C_19900001,SPX,PT,0,0,0,0.2057283,0.637965,1.104246,6.6622483,1.91416,5.2284667,16.0160617,15.82149,13.8998833,12.56512,12.83957,14.5773,19.6967,0,0,0,0,0,0,0,0,0,3.7225667,1.8266167,1.859305,6.9375925,10.561185,7.638805,4.06874,3.9965567,7.1179667,2.21214,0,5.55766,0,2.23487,1.9770567,0.197445,0,0.349516,0,0.2973255,0,0.3282795,0,0,0.478898,0,0,0,0.485333,0.421632,0,0.3094305,0.251604,2.242225,0,0.560645,0.253378,0,0.9302565
jgi.Rhice1_1.850804.MIX7750_82_66,SPX,PT,5.8133267,0,0,0,0.67286,2.24278,10.42551,8.77625,1.594585,14.1828233,11.770928,6.2075667,0,0.588632,3.27846,6.0312117,0,0,0,0,0,0,3.3208667,4.5189,0,8.4964167,6.5696383,15.3694,4.48875,0,16.491915,15.9005483,0,0,0,0,0,0,0,2.2854333,0,0,0,0,0.648355,0,0,0,0,0,0.31354,0,0,0,0.8576365,0,1.02707,0.291315,1.21397,0,2.47655,0,0,0
jgi.Rhice1_1.875447.estExt_Genemark1.C_1430059,SPX,PT,1.1180617,0,1.2873233,5.8181,0,0,0.6717417,4.2803833,10.3553183,16.1995333,8.923084,4.3791267,6.022625,1.260578,0,5.1651567,0,0,0,0,0,0,0,0,0,0,2.7215667,12.1212,4.478225,0,0.885795,13.2352167,0,0,0,0,0,1.11986,0,0,0,0,0.9631855,0,1.29393,0,0,0,0,0,0,0,0,0,0.3073545,0,0,0,0.60565,0,2.779955,0,0,0.18773
