"","OTU51Rhizophagus","OTU70Claroideoglomus","OTU166Rhizophagus","OTU150Rhizophagus","OTU253Funneliformis","OTU118Rhizophagus","OTU161Rhizophagus","OTU132Rhizophagus","OTU133Glomus","OTU206Glomus","OTU213Rhizophagus","OTU935Rhizophagus","OTU126Glomus","OTU251Rhizophagus","OTU558Funneliformis","OTU323Glomus","OTU224Glomus","OTU229Glomus","OTU355Funneliformis","OTU408Fungi","OTU347Rhizophagus","OTU476Glomus","OTU277Glomus","OTU565Funneliformis","OTU491Claroideoglomus","OTU368Fungi","OTU400Glomus","OTU333Glomus","OTU435Glomus","OTU534Glomus","OTU944Rhizophagus","OTU553Fungi","OTU536Claroideoglomus","OTU682Fungi","OTU551Fungi","OTU989Funneliformis","OTU498Glomus","OTU579Glomus","OTU987Paraglomus","OTU683Fungi","OTU734Rhizophagus","OTU568Fungi","OTU715Glomus","OTU574Glomus","OTU986Fungi","OTU659Glomus","OTU660Fungi","OTU1068Glomus","OTU564Glomus","OTU735Claroideoglomus","OTU597Paraglomus","OTU998Glomus","OTU1184Rhizophagus","OTU1065Claroideoglomus","OTU936Claroideoglomus","OTU1063Fungi","OTU1070Fungi","OTU1105Fungi","OTU1197Claroideoglomus","OTU1274Paraglomus","OTU1103Fungi","OTU969Claroideoglomus","OTU1013Glomeraceae","OTU975Paraglomus","OTU945Glomus"
"SRR8743099_quant",33,8,9,0,0,0,5,2,1,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743100_quant",2,0,21,6,0,9,6,5,0,0,4,0,0,6,0,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743104_quant",10,4,17,12,0,6,3,5,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743109_quant",3,0,22,5,1,2,2,2,8,0,7,0,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743110_quant",12,1,15,3,1,4,7,5,3,0,2,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743114_quant",2,0,17,10,0,13,7,2,0,0,3,0,4,3,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743117_quant",23,34,2,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743118_quant",47,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743119_quant",63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743120_quant",33,20,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
