gene_id,Modall,Mod1,Mod3,Mod4
jgi|RhiirA1_1|499290|MIX11607_1011_99,0,0,0,0
jgi|Rhiir2_1|1867723|estExt_Genemark1.C_60077,0,0,0,0
jgi|RhiirC2|671215|e_gw1.3999.2.1,0,0,0,0
jgi|Rhiir2_1|1733726|fgenesh1_kg.571_#_21_#_TRINITY_DN11513_c1_g2_i2,0,0,0,0
jgi|RhiirA4|548104|estExt_Genemark1.C_15200008,0,0,0,0
jgi|RhiirA1_1|532618|estExt_Genemark1.C_2060010,0,0,0,0
jgi|RhiirA1_1|406832|fgenesh1_kg.8_#_23_#_remain_c2646,0,0,0,0
jgi|Gloin1|85229|fgenesh1_pg.2770_#_3,0,0,0,0
jgi|RhiirA1_1|535417|estExt_Genemark1.C_4340009,0,0,0,0
jgi|Rhice1_1|775089|fgenesh1_kg.263_#_5_#_TRINITY_DN11383_c0_g2_i1,0,0,0,0
jgi|Rhidi1|773880|gm1.24954_g,0,0,0,0
jgi|RhiirA1_1|341479|e_gw1.342.24.1,0,0,0,0
jgi|Rhiir2_1|1605761|fgenesh1_kg.108_#_380_#_TRINITY_DN10669_c2_g1_i2,0,0,0,0
jgi|RhiirA1_1|523935|MIX36252_41_22,0,0,0,0
jgi|RhiirB3|449096|gm1.25067_g,0,0,0,0
jgi|Rhicl1|19492|transcript:GBC07552,0,0,0,0
jgi|Gloin1|215248|CE115124_98,0,0,0,0
jgi|Gloin1|246414|CE146290_753,0,0,0,0
jgi|Rhiir2_1|1839222|estExt_fgenesh1_pg.C_670073,0,0,0,0
jgi|Rhice1_1|749644|fgenesh1_kg.13_#_218_#_TRINITY_DN15449_c0_g1_i2,0,0,0,0
jgi|Rhicl1|14971|transcript:GBB87011,0,0,0,0
jgi|Rhiir2_1|1478970|fgenesh1_pg.114_#_14,0,0,0,0
jgi|RhiirA1_1|424553|fgenesh1_kg.935_#_2_#_ACTTGA_L001_R1_(paired)_contig_7452,0,0,0,0
jgi|Rhiir2_1|1682499|fgenesh1_kg.255_#_295_#_TRINITY_DN10076_c1_g2_i2,0,0,0,0
jgi|Rhicl1|4267|transcript:GBB95076,0,0,0,0
