Category,Description
jgi|Rhicl1|20722|transcript:GBB87352,AMF
jgi|Gloin1|12345|gm1.12233_g,AMF
jgi|Gloin1|341675|fgenesh1_kg.9807_#_3_#_ACTTGA_L001_R1_(paired)_contig_4231,AMF
jgi|Rhicl1|841|transcript:GBB84347,AMF
jgi|Rhicl1|5176|transcript:GBB85032,AMF
jgi|Gloin1|233384|CE133260_2797,AMF
jgi|Rhicl1|18960|transcript:GBC07068,AMF
jgi|Rhidi1|623843|e_gw1.174.10.1,AMF
jgi|RhiirA4|338761|estExt_Genewise1.C_1180008,AMF
jgi|Rhicl1|21286|transcript:GBC09238,AMF
jgi|Rhiir2_1|1721028|fgenesh1_kg.441_#_29_#_TRINITY_DN8159_c0_g2_i4,AMF
jgi|Rhicl1|15851|transcript:GBC04159,AMF
jgi|Rhiir2_1|1790190|gm1.28944_g,AMF
jgi|RhiirB3|444146|gm1.20117_g,AMF
jgi|Rhiir2_1|1728114|fgenesh1_kg.500_#_58_#_V1MblContig5014,AMF
jgi|Rhidi1|698167|fgenesh1_kg.156_#_9_#_TRINITY_GG_483_c4_g1_i1,AMF
jgi|Rhicl1|16816|transcript:GBC05072,AMF
jgi|Gloin1|156094|CE55970_1054,AMF
jgi|Rhicl1|24795|transcript:GBB89009,AMF
jgi|Gloin1|348552|fgenesh1_kg.22406_#_1_#_ACTTGA_L001_R1_(paired)_contig_2741,AMF
jgi|RhiirC2|709833|fgenesh1_pg.382_#_9,AMF
jgi|Rhiir2_1|1484827|fgenesh1_pg.268_#_6,AMF
jgi|RhiirA4|181209|CE181208_1453,AMF
jgi|Rhiir2_1|1696561|fgenesh1_kg.301_#_184_#_TRINITY_DN10389_c1_g3_i4,AMF
jgi|Rhicl1|14832|transcript:GBC03202,AMF
jgi|Rhidi1|642617|estExt_Genewise1.C_2990018,AMF
jgi|Rhicl1|4738|transcript:GBB95467,AMF
jgi|Gloin1|339117|fgenesh1_kg.6283_#_5_#_ACTTGA_L001_R1_(paired)_contig_1728,AMF
jgi|RhiirA5|348806|fgenesh1_kg.76_#_56_#_step3_c2307,AMF
jgi|Rhicl1|7216|transcript:GBB97372,AMF
jgi|Gloin1|340570|fgenesh1_kg.8270_#_6_#_step3_c910,AMF
jgi|Gloin1|3235|gm1.3123_g,AMF
jgi|Rhicl1|22467|transcript:GBC10341,AMF
jgi|RhiirC2|770716|gm1.3198_g,AMF
jgi|Rhice1_1|694944|e_gw1.236.41.1,AMF
jgi|Rhicl1|12421|transcript:GBC01159,AMF
jgi|Rhicl1|12416|transcript:GBC01154,AMF
jgi|Gloin1|9565|gm1.9453_g,AMF
jgi|Rhidi1|697148|fgenesh1_kg.143_#_28_#_TRINITY_GG_766_c13_g2_i1,AMF
jgi|Rhidi1|655224|estExt_Genewise1Plus.C_2720004,AMF
jgi|Rhiir2_1|741670|CE741537_47861,AMF
jgi|Gloin1|142321|CE42197_2234,AMF
jgi|Rhidi1|651870|estExt_Genewise1Plus.C_1130004,AMF
jgi|RhiirA1_1|424650|fgenesh1_kg.948_#_4_#_ACTTGA_L001_R1_(paired)_contig_482,AMF
jgi|Rhiir2_1|1509682|fgenesh1_kg.12_#_1154_#_TRINITY_DN11340_c0_g2_i1,AMF
jgi|Rhidi1|695734|fgenesh1_kg.128_#_186_#_TRINITY_GG_2496_c27_g1_i2,AMF
jgi|Rhidi1|754801|gm1.5875_g,AMF
jgi|Gloin1|340995|fgenesh1_kg.8915_#_5_#_ACTTGA_L001_R1_(paired)_contig_1814,AMF
jgi|Rhicl1|16407|transcript:GBC04691,AMF
jgi|Gloin1|121270|CE21146_1330,AMF
jgi|Rhicl1|26315|transcript:GBB90319,AMF
jgi|Rhicl1|624|transcript:GBB92042,AMF
jgi|Gloin1|74461|e_gw1.12044.3.1,AMF
jgi|RhiirB3|384015|fgenesh1_pg.284_#_3,AMF
jgi|RhiirB3|500380|MIX23900_4467_100,AMF
jgi|Gloin1|347050|fgenesh1_kg.19009_#_1_#_ACTTGA_L001_R1_(paired)_contig_1547,AMF
jgi|Rhiir2_1|1587905|fgenesh1_kg.85_#_295_#_TRINITY_DN4170_c0_g2_i1,AMF
jgi|Gloin1|12802|gm1.12690_g,AMF
jgi|Rhidi1|692857|fgenesh1_kg.103_#_54_#_TRINITY_GG_3581_c43_g1_i1,AMF
jgi|Rhidi1|693667|fgenesh1_kg.111_#_61_#_TRINITY_GG_6292_c35_g1_i1,AMF
jgi|Gloin1|340801|fgenesh1_kg.8724_#_2_#_ACTTGA_L001_R1_(paired)_contig_219,AMF
jgi|Rhidi1|693953|fgenesh1_kg.113_#_119_#_TRINITY_GG_1289_c40_g1_i5,AMF
jgi|Rhicl1|17748|transcript:GBC05925,AMF
jgi|Rhicl1|4351|transcript:GBB95148,AMF
jgi|RhiirA1_1|492139|MIX4456_42_15,AMF
jgi|Rhicl1|16422|transcript:GBC04706,AMF
jgi|Rhicl1|14568|transcript:GBC02948,AMF
jgi|Rhice1_1|690646|e_gw1.98.3.1,AMF
jgi|RhiirC2|653139|e_gw1.122.13.1,AMF
jgi|RhiirA1_1|528042|estExt_Genemark1.C_10052,AMF
jgi|Rhicl1|16380|transcript:GBC04673,AMF
jgi|Rhicl1|2322|transcript:GBB93455,AMF
jgi|Gloin1|334698|fgenesh1_kg.951_#_1_#_ACTTGA_L001_R1_(paired)_contig_2457,AMF
jgi|Rhidi1|811431|estExt_Genemark1.C_550025,AMF
jgi|RhiirA5|498654|estExt_Genemark1.C_3910010,AMF
jgi|Gloin1|337785|fgenesh1_kg.4638_#_4_#_ACTTGA_L001_R1_(paired)_contig_5107,AMF
jgi|Rhice1_1|756545|fgenesh1_kg.53_#_116_#_TRINITY_DN18121_c4_g2_i1,AMF
jgi|Gloin1|250662|CE150538_1056,AMF
jgi|Rhidi1|708672|fgenesh1_kg.302_#_18_#_TRINITY_GG_1443_c0_g1_i1,AMF
jgi|Gloin1|340720|fgenesh1_kg.8580_#_1_#_ACTTGA_L001_R1_(paired)_contig_244,AMF
jgi|Rhiir2_1|1618244|fgenesh1_kg.123_#_550_#_TRINITY_DN7328_c0_g1_i2,AMF
jgi|Rhice1_1|134960|CE134748_14893,AMF
jgi|Gloin1|241444|CE141320_4272,AMF
jgi|Rhidi1|816193|estExt_Genemark1.C_2370006,AMF
jgi|Rhicl1|8211|transcript:GBB98145,AMF
